User,Track,Rating
1,0,27
4,0,10
8,0,30
10,0,30
11,0,14
12,0,34
13,0,37
15,0,56
17,0,44
18,0,29
19,0,32
24,0,31
26,0,31
27,0,28
28,0,33
31,0,33
32,0,50
34,0,50
36,0,31
41,0,50
43,0,30
46,0,29
48,0,32
50,0,65
51,0,10
52,0,18
54,0,51
56,0,42
57,0,40
58,0,29
61,0,35
67,0,8
68,0,31
69,0,33
75,0,6
77,0,74
78,0,12
80,0,31
81,0,28
82,0,48
85,0,46
87,0,15
92,0,51
95,0,24
96,0,10
97,0,26
98,0,30
99,0,55
104,0,33
107,0,7
109,0,27
110,0,32
111,0,8
112,0,9
113,0,19
115,0,52
116,0,17
117,0,29
119,0,9
120,0,49
122,0,29
126,0,48
128,0,9
130,0,32
131,0,32
133,0,8
134,0,11
135,0,50
137,0,30
140,0,30
142,0,72
143,0,40
145,0,2
146,0,55
147,0,90
148,0,49
149,0,39
151,0,24
152,0,48
154,0,30
157,0,14
161,0,15
162,0,9
167,0,49
168,0,28
170,0,50
172,0,10
178,0,16
181,0,51
182,0,42
183,0,12
185,0,39
186,0,52
187,0,29
189,0,71
191,0,6
193,0,10
194,0,28
195,0,7
202,0,51
203,0,8
204,0,36
206,0,42
207,0,19
211,0,48
213,0,21
218,0,56
220,0,10
226,0,52
228,0,25
229,0,8
235,0,25
237,0,45
240,0,12
241,0,30
242,0,39
243,0,59
245,0,25
247,0,11
249,0,30
251,0,43
255,0,48
257,0,49
262,0,31
263,0,50
264,0,32
265,0,13
266,0,7
267,0,28
268,0,13
270,0,14
271,0,25
275,0,24
276,0,30
280,0,29
281,0,51
283,0,40
285,0,14
286,0,5
287,0,10
292,0,68
293,0,42
294,0,32
295,0,11
297,0,9
298,0,71
299,0,30
300,0,26
302,0,31
306,0,29
309,0,29
310,0,32
311,0,36
314,0,81
316,0,21
317,0,59
318,0,26
320,0,31
321,0,28
324,0,61
327,0,49
329,0,26
330,0,41
331,0,85
332,0,49
337,0,38
342,0,37
344,0,31
346,0,41
348,0,48
349,0,18
351,0,34
352,0,4
353,0,51
355,0,30
357,0,90
360,0,29
362,0,87
368,0,13
371,0,13
374,0,31
375,0,11
377,0,42
378,0,29
379,0,38
382,0,11
383,0,9
384,0,65
385,0,31
386,0,58
387,0,43
388,0,50
389,0,48
393,0,39
394,0,11
396,0,25
398,0,42
403,0,19
404,0,75
406,0,29
408,0,8
409,0,49
411,0,30
412,0,14
413,0,49
415,0,42
416,0,18
417,0,10
418,0,44
420,0,25
424,0,11
428,0,30
432,0,39
433,0,43
434,0,51
437,0,49
440,0,54
441,0,43
443,0,2
444,0,48
445,0,6
447,0,35
449,0,93
451,0,16
452,0,30
455,0,71
458,0,11
459,0,19
460,0,50
462,0,51
464,0,23
467,0,45
469,0,10
473,0,49
474,0,49
476,0,25
482,0,51
483,0,31
484,0,14
498,0,26
500,0,51
503,0,37
504,0,44
505,0,25
507,0,42
508,0,49
509,0,32
517,0,33
521,0,10
523,0,10
524,0,12
525,0,11
527,0,30
528,0,48
530,0,51
531,0,31
532,0,46
534,0,14
535,0,30
538,0,56
539,0,29
546,0,52
548,0,31
549,0,72
551,0,39
554,0,30
555,0,10
557,0,51
558,0,32
560,0,30
565,0,51
568,0,27
570,0,50
572,0,45
573,0,7
574,0,48
577,0,52
580,0,30
581,0,31
582,0,48
583,0,29
585,0,8
586,0,30
587,0,51
589,0,14
592,0,50
597,0,8
599,0,29
602,0,66
606,0,71
607,0,7
611,0,29
618,0,29
619,0,13
625,0,35
626,0,10
628,0,22
629,0,51
632,0,34
637,0,29
638,0,12
640,0,50
641,0,32
646,0,60
648,0,11
649,0,47
651,0,42
653,0,45
654,0,35
657,0,51
659,0,32
660,0,48
661,0,70
662,0,28
663,0,42
664,0,34
666,0,47
669,0,22
674,0,13
676,0,12
677,0,62
678,0,15
680,0,13
682,0,41
685,0,10
687,0,29
688,0,43
690,0,50
691,0,7
692,0,71
693,0,26
694,0,37
696,0,8
697,0,30
700,0,29
701,0,32
704,0,14
705,0,55
707,0,29
708,0,10
709,0,8
710,0,32
713,0,10
716,0,47
718,0,10
719,0,29
720,0,33
721,0,65
723,0,53
725,0,28
726,0,51
730,0,49
735,0,8
736,0,7
737,0,32
739,0,10
740,0,53
741,0,15
746,0,49
748,0,11
750,0,54
752,0,53
754,0,37
760,0,29
761,0,51
764,0,99
766,0,47
772,0,13
773,0,14
776,0,12
777,0,11
778,0,33
784,0,31
786,0,10
792,0,16
794,0,45
795,0,32
796,0,50
799,0,69
800,0,13
801,0,48
802,0,14
803,0,38
804,0,100
807,0,31
809,0,49
810,0,56
812,0,41
813,0,12
817,0,36
819,0,40
820,0,12
821,0,35
825,0,10
826,0,7
828,0,24
829,0,30
830,0,31
831,0,3
833,0,51
836,0,47
837,0,49
838,0,45
842,0,48
843,0,46
849,0,56
850,0,42
851,0,30
852,0,38
855,0,38
857,0,59
858,0,11
864,0,10
865,0,5
866,0,53
867,0,41
869,0,31
870,0,14
872,0,46
875,0,12
881,0,31
882,0,10
888,0,49
890,0,1
895,0,30
896,0,3
898,0,2
899,0,29
900,0,9
902,0,40
903,0,39
907,0,34
908,0,6
909,0,3
911,0,23
914,0,43
915,0,13
917,0,37
918,0,4
919,0,32
920,0,11
922,0,20
923,0,51
925,0,31
926,0,16
928,0,10
931,0,52
933,0,4
935,0,51
936,0,17
939,0,31
941,0,33
942,0,30
944,0,50
946,0,29
947,0,60
948,0,31
951,0,34
953,0,43
959,0,43
960,0,31
961,0,21
962,0,51
964,0,43
965,0,30
967,0,50
970,0,73
972,0,32
975,0,3
982,0,30
985,0,29
988,0,24
990,0,6
991,0,7
992,0,35
993,0,52
995,0,14
997,0,70
1001,0,51
1004,0,76
1005,0,41
1007,0,15
1008,0,14
1010,0,33
1011,0,11
1016,0,35
1019,0,69
1022,0,55
1023,0,30
1024,0,30
1026,0,12
1027,0,70
1028,0,48
1029,0,34
1030,0,47
1032,0,57
1034,0,68
1035,0,48
1037,0,66
1040,0,51
1046,0,20
1047,0,49
1048,0,29
1050,0,12
1051,0,49
1052,0,32
1053,0,50
1056,0,30
1057,0,51
1058,0,50
1060,0,8
1066,0,14
1068,0,28
1071,0,29
1072,0,9
1075,0,31
1076,0,72
1077,0,30
1079,0,11
1083,0,49
1084,0,29
1085,0,10
1086,0,69
1087,0,31
1090,0,12
1091,0,11
1092,0,20
1093,0,35
1094,0,61
1095,0,41
1100,0,6
1101,0,35
1102,0,29
1108,0,9
1116,0,69
1117,0,30
1118,0,30
1119,0,41
1122,0,10
1125,0,26
1127,0,7
1128,0,7
1129,0,51
1133,0,32
1134,0,30
1135,0,30
1136,0,68
1139,0,9
1142,0,45
1148,0,28
1154,0,29
1156,0,48
1158,0,30
1163,0,31
1164,0,7
1166,0,25
1168,0,14
1169,0,64
1170,0,18
1171,0,32
1177,0,53
1178,0,32
1183,0,32
1184,0,46
1187,0,30
1188,0,32
1191,0,55
1196,0,13
1198,0,41
1199,0,11
1201,0,12
1204,0,49
1205,0,57
1207,0,33
1210,0,59
1212,0,5
1214,0,51
1218,0,71
1220,0,16
1221,0,11
1222,0,33
1223,0,14
1224,0,11
1225,0,42
1228,0,12
1229,0,74
1232,0,28
1233,0,10
1234,0,28
1235,0,33
1236,0,32
1238,0,13
1239,0,30
1243,0,0
1244,0,59
1245,0,32
1247,0,13
1248,0,12
1251,0,48
1252,0,32
1254,0,43
1256,0,6
1260,0,54
1262,0,11
1265,0,43
1266,0,40
1267,0,10
1268,0,31
1269,0,12
1271,0,53
1274,0,30
1277,0,67
1279,0,58
1280,0,32
1282,0,30
1285,0,49
1286,0,51
1287,0,9
1289,0,13
1291,0,47
1293,0,49
1294,0,12
1296,0,30
1297,0,26
1298,0,51
1300,0,11
1301,0,32
1303,0,50
1308,0,67
1312,0,28
1313,0,50
1314,0,50
1315,0,27
1318,0,8
1320,0,29
1321,0,70
1322,0,44
1328,0,56
1329,0,41
1332,0,29
1337,0,28
1338,0,71
1340,0,29
1342,0,7
1343,0,41
1344,0,46
1345,0,51
1346,0,33
1347,0,32
1349,0,51
1352,0,15
1353,0,4
1360,0,32
1362,0,30
1363,0,51
1366,0,45
1367,0,26
1370,0,13
1371,0,72
1372,0,10
1375,0,51
1376,0,32
1378,0,30
1379,0,49
1383,0,57
1385,0,29
1388,0,41
1389,0,27
1390,0,48
1391,0,32
1392,0,69
1393,0,13
1395,0,30
1396,0,2
1397,0,9
1400,0,50
1402,0,33
1405,0,46
1409,0,53
1410,0,41
1412,0,30
1413,0,46
1417,0,30
1418,0,30
1422,0,13
1424,0,10
1430,0,47
1432,0,22
1433,0,29
1434,0,33
1435,0,40
1437,0,29
1439,0,32
1442,0,43
1443,0,29
1445,0,34
1448,0,32
1454,0,31
1456,0,17
1458,0,32
1466,0,17
1469,0,30
1471,0,15
1472,0,53
1473,0,11
1474,0,1
1477,0,16
1480,0,63
1482,0,51
1484,0,11
1485,0,18
1491,0,40
1493,0,51
1495,0,41
1496,0,56
1501,0,48
1502,0,10
1504,0,45
1506,0,38
1507,0,13
1509,0,50
1511,0,72
1512,0,49
1514,0,66
1516,0,10
1517,0,56
1521,0,33
1525,0,43
1526,0,57
1528,0,48
1529,0,9
1531,0,52
1532,0,48
1533,0,49
1536,0,10
1540,0,12
1544,0,75
1545,0,67
1546,0,33
1547,0,11
1548,0,12
1549,0,29
1550,0,50
1552,0,19
1554,0,49
1555,0,74
1558,0,29
1559,0,11
1561,0,26
1563,0,33
1568,0,31
1569,0,30
1570,0,24
1571,0,29
1572,0,25
1574,0,10
1575,0,22
1576,0,32
1577,0,29
1578,0,51
1581,0,25
1582,0,18
1583,0,33
1584,0,14
1586,0,35
1588,0,30
1589,0,64
1591,0,10
1593,0,35
1594,0,11
1596,0,50
1600,0,32
1601,0,9
1603,0,29
1605,0,49
1607,0,58
1608,0,29
1611,0,30
1613,0,17
1615,0,29
1616,0,32
1617,0,46
1618,0,29
1619,0,32
1620,0,31
1621,0,9
1624,0,41
1625,0,44
1628,0,12
1630,0,51
1631,0,32
1632,0,7
1634,0,12
1635,0,9
1637,0,100
1638,0,1
1639,0,33
1641,0,8
1642,0,14
1643,0,51
1645,0,46
1647,0,76
1648,0,31
1651,0,51
1652,0,26
1654,0,35
1656,0,40
1657,0,64
1658,0,30
1661,0,36
1663,0,11
1665,0,52
1669,0,31
1670,0,10
1671,0,29
1672,0,10
1673,0,30
1674,0,49
1676,0,39
1677,0,32
1678,0,29
1679,0,55
1680,0,47
1682,0,4
1694,0,28
1696,0,12
1698,0,34
1699,0,31
1703,0,13
1704,0,43
1705,0,9
1710,0,5
1714,0,41
1715,0,22
1717,0,46
1719,0,6
1721,0,70
1722,0,39
1727,0,48
1728,0,12
1729,0,35
1730,0,33
1733,0,61
1734,0,35
1735,0,33
1739,0,13
1740,0,14
1741,0,30
1742,0,49
1743,0,30
1744,0,30
1745,0,31
1746,0,26
1747,0,53
1756,0,11
1759,0,19
1760,0,12
1761,0,62
1762,0,23
1763,0,48
1764,0,42
1765,0,46
1766,0,47
1771,0,78
1774,0,51
1775,0,11
1777,0,31
1778,0,15
1779,0,54
1780,0,26
1781,0,51
0,1,32
3,1,28
6,1,54
7,1,44
9,1,11
11,1,11
14,1,10
15,1,65
16,1,27
17,1,43
18,1,29
20,1,12
28,1,30
